interface,scenario,period,threshold,baseline_area_km2,future_area_km2,delta_area_km2
reconstructed,ssp245,mid_2041_2060,0.11,120401.64361572266,142195.10250854492,21793.458892822266
reconstructed,ssp245,mid_2041_2060,0.12,115910.81970214844,132374.9041442871,16464.084442138672
reconstructed,ssp245,mid_2041_2060,0.13,111368.18328857422,127093.32736206055,15725.144073486328
reconstructed,ssp245,mid_2041_2060,0.14,109098.79125976562,120460.46694946289,11361.675689697266
reconstructed,ssp245,mid_2041_2060,0.15,106086.74365234375,115599.23489379883,9512.491241455078
reconstructed,ssp245,mid_2041_2060,0.16,105334.8383178711,113328.41128540039,7993.572967529297
reconstructed,ssp245,mid_2041_2060,0.17,98121.8803100586,107312.72134399414,9190.841033935547
reconstructed,ssp245,mid_2041_2060,0.18,92860.80279541016,99985.78607177734,7124.9832763671875
reconstructed,ssp245,mid_2041_2060,0.19,87891.34106445312,96968.44470214844,9077.103637695312
reconstructed,ssp245,mid_2041_2060,0.2,83331.77001953125,95443.18243408203,12111.412414550781
reconstructed,ssp245,near_2021_2040,0.08,142096.1459350586,154586.14785766602,12490.001922607422
reconstructed,ssp245,near_2021_2040,0.09,134541.96411132812,148211.63604736328,13669.671936035156
reconstructed,ssp245,near_2021_2040,0.1,127004.48846435547,140043.10638427734,13038.617919921875
reconstructed,ssp245,near_2021_2040,0.11,120401.64361572266,139295.78588867188,18894.14227294922
reconstructed,ssp245,near_2021_2040,0.12,115910.81970214844,130215.43487548828,14304.615173339844
reconstructed,ssp245,near_2021_2040,0.13,111368.18328857422,122766.3403930664,11398.157104492188
reconstructed,ssp245,near_2021_2040,0.14,109098.79125976562,117486.76452636719,8387.973266601562
reconstructed,ssp245,near_2021_2040,0.15,106086.74365234375,112363.92626953125,6277.1826171875
reconstructed,ssp245,near_2021_2040,0.16,105334.8383178711,109358.48620605469,4023.6478881835938
reconstructed,ssp245,near_2021_2040,0.17,98121.8803100586,107431.98620605469,9310.105895996094
reconstructed,ssp245,near_2021_2040,0.18,92860.80279541016,107431.98620605469,14571.183410644531
reconstructed,ssp245,near_2021_2040,0.19,87891.34106445312,105164.86053466797,17273.519470214844
reconstructed,ssp245,near_2021_2040,0.2,83331.77001953125,100697.26177978516,17365.491760253906
reconstructed,ssp585,late_2081_2100,0.08,142096.1459350586,154827.79429626465,12731.648361206055
reconstructed,ssp585,late_2081_2100,0.09,134541.96411132812,145877.27110290527,11335.306991577148
reconstructed,ssp585,late_2081_2100,0.1,127004.48846435547,138429.97410583496,11425.485641479492
reconstructed,ssp585,late_2081_2100,0.11,120401.64361572266,134191.3029937744,13789.659378051758
reconstructed,ssp585,late_2081_2100,0.12,115910.81970214844,127184.09771728516,11273.278015136719
reconstructed,ssp585,late_2081_2100,0.13,111368.18328857422,118958.07623291016,7589.8929443359375
reconstructed,ssp585,late_2081_2100,0.14,109098.79125976562,111608.29229736328,2509.5010375976562
reconstructed,ssp585,late_2081_2100,0.15,106086.74365234375,107385.18811035156,1298.4444580078125
reconstructed,ssp585,late_2081_2100,0.16,105334.8383178711,101331.85461425781,-4002.9837036132812
reconstructed,ssp585,late_2081_2100,0.17,98121.8803100586,96122.24444580078,-1999.6358642578125
reconstructed,ssp585,late_2081_2100,0.18,92860.80279541016,91608.91967773438,-1251.8831176757812
reconstructed,ssp585,late_2081_2100,0.19,87891.34106445312,90847.58990478516,2956.2488403320312
reconstructed,ssp585,late_2081_2100,0.2,83331.77001953125,87819.09259033203,4487.322570800781
reconstructed,ssp585,mid_2041_2060,0.08,142096.1459350586,154883.40367126465,12787.257736206055
reconstructed,ssp585,mid_2041_2060,0.09,134541.96411132812,148804.5517425537,14262.587631225586
reconstructed,ssp585,mid_2041_2060,0.1,127004.48846435547,141002.82832336426,13998.339859008789
reconstructed,ssp585,mid_2041_2060,0.11,120401.64361572266,133243.2186279297,12841.575012207031
reconstructed,ssp585,mid_2041_2060,0.12,115910.81970214844,125789.04510498047,9878.225402832031
reconstructed,ssp585,mid_2041_2060,0.13,111368.18328857422,116103.06909179688,4734.885803222656
reconstructed,ssp585,mid_2041_2060,0.14,109098.79125976562,113087.10205078125,3988.310791015625
reconstructed,ssp585,mid_2041_2060,0.15,106086.74365234375,105161.4515991211,-925.2920532226562
reconstructed,ssp585,mid_2041_2060,0.16,105334.8383178711,101380.84753417969,-3953.9907836914062
reconstructed,ssp585,mid_2041_2060,0.17,98121.8803100586,98385.95977783203,264.0794677734375
reconstructed,ssp585,mid_2041_2060,0.18,92860.80279541016,96117.65649414062,3256.8536987304688
reconstructed,ssp585,mid_2041_2060,0.19,87891.34106445312,93867.96710205078,5976.626037597656
reconstructed,ssp585,mid_2041_2060,0.2,83331.77001953125,90828.68200683594,7496.9119873046875
reconstructed,ssp585,near_2021_2040,0.08,142096.1459350586,150169.63961791992,8073.493682861328
