interface,scenario,period,threshold,baseline_area_km2,future_area_km2,delta_area_km2
reconstructed,ssp585,near_2021_2040,0.09,134541.96411132812,142612.44314575195,8070.479034423828
reconstructed,ssp585,near_2021_2040,0.1,127004.48846435547,139148.75427246094,12144.265808105469
reconstructed,ssp585,near_2021_2040,0.11,120401.64361572266,133988.8829345703,13587.239318847656
reconstructed,ssp585,near_2021_2040,0.12,115910.81970214844,125837.9066772461,9927.086975097656
reconstructed,ssp585,near_2021_2040,0.13,111368.18328857422,117618.814453125,6250.631164550781
reconstructed,ssp585,near_2021_2040,0.14,109098.79125976562,113110.4867553711,4011.6954956054688
reconstructed,ssp585,near_2021_2040,0.15,106086.74365234375,110835.69543457031,4748.9517822265625
reconstructed,ssp585,near_2021_2040,0.16,105334.8383178711,106635.66748046875,1300.8291625976562
reconstructed,ssp585,near_2021_2040,0.17,98121.8803100586,102917.64440917969,4795.764099121094
reconstructed,ssp585,near_2021_2040,0.18,92860.80279541016,96945.4829711914,4084.68017578125
reconstructed,ssp585,near_2021_2040,0.19,87891.34106445312,91671.73071289062,3780.3896484375
reconstructed,ssp585,near_2021_2040,0.2,83331.77001953125,90154.1337890625,6822.36376953125
direct_hou,ssp245,late_2081_2100,0.08,142096.1459350586,144851.02620315552,2754.880268096924
direct_hou,ssp245,late_2081_2100,0.09,134541.96411132812,137320.46168899536,2778.4975776672363
direct_hou,ssp245,late_2081_2100,0.1,127004.48846435547,132050.8083076477,5046.319843292236
direct_hou,ssp245,late_2081_2100,0.11,120401.64361572266,127260.97804260254,6859.334426879883
direct_hou,ssp245,late_2081_2100,0.12,115910.81970214844,119851.17713928223,3940.357437133789
direct_hou,ssp245,late_2081_2100,0.13,111368.18328857422,115934.27276611328,4566.0894775390625
direct_hou,ssp245,late_2081_2100,0.14,109098.79125976562,112152.27545166016,3053.4841918945312
direct_hou,ssp245,late_2081_2100,0.15,106086.74365234375,106872.6083984375,785.86474609375
direct_hou,ssp245,late_2081_2100,0.16,105334.8383178711,101137.24337768555,-4197.594940185547
direct_hou,ssp245,late_2081_2100,0.17,98121.8803100586,96006.3576965332,-2115.5226135253906
direct_hou,ssp245,late_2081_2100,0.18,92860.80279541016,90975.66357421875,-1885.1392211914062
direct_hou,ssp245,late_2081_2100,0.19,87891.34106445312,89465.91149902344,1574.5704345703125
direct_hou,ssp245,late_2081_2100,0.2,83331.77001953125,87236.16284179688,3904.392822265625
direct_hou,ssp245,mid_2041_2060,0.08,142096.1459350586,148751.6884651184,6655.542530059814
direct_hou,ssp245,mid_2041_2060,0.09,134541.96411132812,141989.52849197388,7447.564380645752
direct_hou,ssp245,mid_2041_2060,0.1,127004.48846435547,132167.074634552,5162.586170196533
direct_hou,ssp245,mid_2041_2060,0.11,120401.64361572266,128940.05490493774,8538.411289215088
direct_hou,ssp245,mid_2041_2060,0.12,115910.81970214844,122430.35144424438,6519.531742095947
direct_hou,ssp245,mid_2041_2060,0.13,111368.18328857422,116308.13882827759,4939.955539703369
direct_hou,ssp245,mid_2041_2060,0.14,109098.79125976562,113028.5510559082,3929.759796142578
direct_hou,ssp245,mid_2041_2060,0.15,106086.74365234375,106000.83673095703,-85.90692138671875
direct_hou,ssp245,mid_2041_2060,0.16,105334.8383178711,102232.42169189453,-3102.4166259765625
direct_hou,ssp245,mid_2041_2060,0.17,98121.8803100586,93915.4076538086,-4206.47265625
direct_hou,ssp245,mid_2041_2060,0.18,92860.80279541016,92427.61743164062,-433.18536376953125
direct_hou,ssp245,mid_2041_2060,0.19,87891.34106445312,89422.85778808594,1531.5167236328125
direct_hou,ssp245,mid_2041_2060,0.2,83331.77001953125,88660.16296386719,5328.3929443359375
direct_hou,ssp245,near_2021_2040,0.08,142096.1459350586,139802.6665840149,-2293.479351043701
direct_hou,ssp245,near_2021_2040,0.09,134541.96411132812,137551.50899124146,3009.54487991333
direct_hou,ssp245,near_2021_2040,0.1,127004.48846435547,132375.15211868286,5370.663654327393
direct_hou,ssp245,near_2021_2040,0.11,120401.64361572266,127644.96844863892,7243.32483291626
direct_hou,ssp245,near_2021_2040,0.12,115910.81970214844,120864.24383926392,4953.4241371154785
direct_hou,ssp245,near_2021_2040,0.13,111368.18328857422,116495.11255264282,5126.9292640686035
direct_hou,ssp245,near_2021_2040,0.14,109098.79125976562,111185.82147216797,2087.0302124023438
direct_hou,ssp245,near_2021_2040,0.15,106086.74365234375,105877.96875,-208.77490234375
direct_hou,ssp245,near_2021_2040,0.16,105334.8383178711,100579.05249023438,-4755.785827636719
