climate_model,scenario,period,C0L0,C0L1,C1L0,C1L1,climate_effect,lulc_effect,interaction,combined_effect
CanESM5,ssp245,near_2021_2040,0.12407963822837798,0.12253267210808966,0.13982219722644548,0.1382847956313237,0.015742558998067507,-0.0015469661202883178,9.564525166538829e-06,0.014205157402945728
CanESM5,ssp585,late_2081_2100,0.12407963822837798,0.11817561309968037,0.13210583430452782,0.12390132551368546,0.00802619607614985,-0.005904025128697601,-0.0023004836621447478,-0.00017831271469251342
CanESM5,ssp585,mid_2041_2060,0.12407963822837798,0.11863000207435682,0.1334089343458279,0.12581445974065675,0.009329296117449926,-0.005449636154021151,-0.0021448384511499885,0.0017348215122787725
CanESM5,ssp585,near_2021_2040,0.12407963822837798,0.12018177332686245,0.13674930573237082,0.13121703673053872,0.012669667503992843,-0.0038978649015155298,-0.0016344041003165666,0.007137398502160747
INM-CM5-0,ssp245,late_2081_2100,0.12407963822837798,0.1192800013976062,0.15171333056642047,0.14720060377678726,0.027633692338042498,-0.004799636830771781,0.0002869100411385661,0.023120965548409284
INM-CM5-0,ssp245,mid_2041_2060,0.12407963822837798,0.12073684386788007,0.14527901627885983,0.140587099305764,0.02119937805048186,-0.0033427943604979055,-0.0013491226125979527,0.016507461077386015
INM-CM5-0,ssp245,near_2021_2040,0.12407963822837798,0.12253267210808966,0.13767144972398596,0.13567241217008372,0.01359181149560798,-0.0015469661202883178,-0.0004520714336139209,0.011592773941705742
INM-CM5-0,ssp585,late_2081_2100,0.12407963822837798,0.11817561309968037,0.14203906434742364,0.13615362205314469,0.017959426119045663,-0.005904025128697601,1.8582834418648386e-05,0.01207398382476671
INM-CM5-0,ssp585,mid_2041_2060,0.12407963822837798,0.11863000207435682,0.14362853613771967,0.1374708082436922,0.019548897909341695,-0.005449636154021151,-0.0007080917400063141,0.01339117001531423
INM-CM5-0,ssp585,near_2021_2040,0.12407963822837798,0.12018177332686245,0.148541729917023,0.1439208651694212,0.02446209168864502,-0.0038978649015155298,-0.0007229998460862586,0.019841226941043233
IPSL-CM6A-LR,ssp245,late_2081_2100,0.12407963822837798,0.1192800013976062,0.14172774559626006,0.14044922091871864,0.017648107367882082,-0.004799636830771781,0.0035211121532303657,0.016369582690340667
IPSL-CM6A-LR,ssp245,mid_2041_2060,0.12407963822837798,0.12073684386788007,0.13838591294891678,0.13542206420464967,0.014306274720538803,-0.0033427943604979055,0.00037894561623079415,0.011342425976271692
IPSL-CM6A-LR,ssp245,near_2021_2040,0.12407963822837798,0.12253267210808966,0.14228047971487087,0.14070264882792327,0.018200841486492897,-0.0015469661202883178,-3.086476665928317e-05,0.016623010599545296
IPSL-CM6A-LR,ssp585,late_2081_2100,0.12407963822837798,0.11817561309968037,0.13463727457212543,0.1294632237493746,0.010557636343747456,-0.005904025128697601,0.0007299743059467761,0.005383585520996631
IPSL-CM6A-LR,ssp585,mid_2041_2060,0.12407963822837798,0.11863000207435682,0.13705112008220693,0.13213370773671057,0.012971481853828959,-0.005449636154021151,0.0005322238085247871,0.008054069508332595
IPSL-CM6A-LR,ssp585,near_2021_2040,0.12407963822837798,0.12018177332686245,0.13563230520484193,0.13151891427693807,0.011552666976463954,-0.0038978649015155298,-0.00021552602638832963,0.007439276048560095
MIROC6,ssp245,late_2081_2100,0.12407963822837798,0.1192800013976062,0.1638904212471824,0.15766984874428402,0.03981078301880442,-0.004799636830771781,-0.0014209356721265887,0.03359021051590605
